"idDados";"dado";"medida";"dateDado";"fkCarro";"fkComponentes"
1;7.9;"%";"2023-08-29 19:52:21";0;1
2;8.2;"%";"2023-08-29 19:53:15";0;1
3;16.85;"Gb";"2023-08-29 19:54:15";0;2
4;60.0;"%";"2023-08-29 19:54:15";0;2
5;16.85;"Gb";"2023-08-29 19:54:15";0;2
6;60.0;"%";"2023-08-29 19:54:15";0;2
7;16.85;"Gb";"2023-08-29 19:54:15";0;2
8;60.0;"%";"2023-08-29 19:54:15";0;2
9;16.85;"Gb";"2023-08-29 19:54:15";0;2
10;60.0;"%";"2023-08-29 19:54:15";0;2
11;16.85;"Gb";"2023-08-29 19:54:15";0;2
12;60.0;"%";"2023-08-29 19:54:15";0;2
13;16.85;"Gb";"2023-08-29 19:54:15";0;2
14;60.0;"%";"2023-08-29 19:54:15";0;2
15;3.9;"%";"2023-08-29 19:56:38";0;1
16;2.5;"%";"2023-08-29 19:56:38";0;1
17;3.1;"%";"2023-08-29 19:56:38";0;1
18;2.8;"%";"2023-08-29 19:56:38";0;1
19;3.0;"%";"2023-08-29 19:56:38";0;1
20;1.9;"%";"2023-08-29 19:56:38";0;1
21;2.7;"%";"2023-08-29 19:56:38";0;1
22;2.0;"%";"2023-08-29 19:56:38";0;1
23;3.5;"%";"2023-08-29 19:56:38";0;1
24;2.5;"%";"2023-08-29 19:56:38";0;1
25;4.8;"%";"2023-08-29 19:56:38";0;1
26;3.3;"%";"2023-08-29 19:56:38";0;1
27;4.1;"%";"2023-08-29 19:56:38";0;1
28;3.5;"%";"2023-08-29 19:56:38";0;1
29;2.7;"%";"2023-08-29 19:56:38";0;1
30;4.1;"%";"2023-08-29 19:57:07";0;1
31;2.4;"%";"2023-08-29 19:57:07";0;1
32;3.0;"%";"2023-08-29 19:57:07";0;1
33;2.2;"%";"2023-08-29 19:57:07";0;1
34;3.1;"%";"2023-08-29 19:57:07";0;1
35;2.8;"%";"2023-08-29 19:57:07";0;1
36;3.2;"%";"2023-08-29 19:57:07";0;1
37;2.3;"%";"2023-08-29 19:57:07";0;1
38;3.2;"%";"2023-08-29 19:57:07";0;1
39;3.1;"%";"2023-08-29 19:57:07";0;1
40;2.8;"%";"2023-08-29 19:57:07";0;1
41;2.9;"%";"2023-08-29 19:57:07";0;1
42;2.1;"%";"2023-08-29 19:57:07";0;1
43;2.3;"%";"2023-08-29 19:57:07";0;1
44;2.1;"%";"2023-08-29 19:57:07";0;1
